,Rooms,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,Type_h,Type_t,Type_u,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Regionname_Eastern Metropolitan,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Price
91,2,3.3,3206.0,1.0,0.0,240.0,-37.8379,144.9539,3280.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,1810000.0
92,3,3.3,3206.0,2.0,1.0,177.0,-37.8415,144.9585,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2615000.0
94,3,3.3,3206.0,1.0,0.0,129.0,-37.8422,144.94899999999996,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1300000.0
95,3,3.3,3206.0,2.0,2.0,0.0,-37.8451,144.9511,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1370000.0
96,2,3.3,3206.0,1.0,0.0,288.0,-37.8407,144.9523,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1000000.0
97,3,3.3,3206.0,2.0,1.0,228.0,-37.8445,144.9501,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2575000.0
98,2,3.3,3206.0,1.0,0.0,149.0,-37.8443,144.9481,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1322500.0
99,2,3.3,3206.0,1.0,0.0,141.0,-37.8424,144.9562,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1562500.0
100,3,3.3,3206.0,2.0,1.0,211.0,-37.847,144.9575,3280.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2000000.0
101,3,3.3,3206.0,1.0,0.0,209.0,-37.8468,144.9546,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1900000.0
102,3,3.3,3206.0,2.0,0.0,147.0,-37.8473,144.9551,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,3010000.0
103,4,3.3,3206.0,3.0,1.0,327.0,-37.8467,144.9475,3280.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2800000.0
104,2,3.3,3206.0,1.0,1.0,0.0,-37.846,144.9542,3280.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,647000.0
105,3,3.3,3206.0,1.0,1.0,120.0,-37.8427,144.9546,3280.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2100000.0
106,3,3.3,3206.0,1.0,1.0,238.0,-37.8461,144.9528,3280.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,2000000.0
107,1,3.3,3206.0,1.0,0.0,0.0,-37.8421,144.9517,3280.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,442500.0
108,4,3.3,3206.0,2.0,1.0,330.0,-37.8477,144.9558,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4735000.0
109,2,3.3,3206.0,1.0,0.0,136.0,-37.846,144.9517,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1340000.0
110,3,3.3,3206.0,1.0,1.0,202.0,-37.8429,144.9493,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1801000.0
111,3,3.3,3206.0,3.0,1.0,0.0,-37.8415,144.9585,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1532000.0
112,3,3.3,3206.0,2.0,2.0,325.0,-37.8413,144.95,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,3755000.0
113,4,3.3,3206.0,2.0,1.0,183.0,-37.8434,144.9495,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2140000.0
114,2,3.3,3206.0,1.0,1.0,162.0,-37.8416,144.9488,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1750000.0
115,2,3.3,3206.0,1.0,0.0,79.0,-37.8387,144.9519,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,980000.0
116,3,3.3,3206.0,2.0,0.0,152.0,-37.8488,144.9551,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,2030000.0
117,3,3.3,3206.0,2.0,2.0,147.0,-37.8448,144.9453,3280.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,1740000.0
118,3,3.3,3206.0,3.0,1.0,0.0,-37.8399,144.9577,3280.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2800000.0
119,1,3.3,3206.0,1.0,0.0,81.0,-37.8411,144.9497,3280.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,985000.0
121,3,6.4,3078.0,2.0,2.0,208.0,-37.7854,145.0325,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1110000.0
122,3,6.4,3078.0,2.0,2.0,411.0,-37.7713,145.0279,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1492000.0
123,4,6.4,3078.0,2.0,1.0,599.0,-37.7717,145.031,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1717500.0
125,2,6.4,3078.0,1.0,1.0,88.0,-37.7791,145.0306,2211.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,525500.0
126,2,6.4,3078.0,2.0,3.0,155.0,-37.7804,145.0308,2211.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,805000.0
127,2,6.4,3078.0,1.0,1.0,0.0,-37.7773,145.0314,2211.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,465000.0
128,3,6.4,3078.0,3.0,2.0,686.0,-37.78,145.0341,2211.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2000000.0
129,3,6.4,3078.0,1.0,2.0,592.0,-37.7755,145.0288,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1540000.0
130,2,6.4,3078.0,1.0,1.0,183.0,-37.7747,145.0264,2211.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,820000.0
131,4,6.4,3078.0,2.0,2.0,606.0,-37.7743,145.0316,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1830000.0
132,4,6.4,3078.0,2.0,2.0,575.0,-37.7723,145.0319,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,2100000.0
133,3,6.4,3078.0,1.0,1.0,180.0,-37.7802,145.0243,2211.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,865000.0
134,2,6.4,3078.0,1.0,1.0,0.0,-37.7773,145.0314,2211.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,390000.0
135,2,6.4,3078.0,1.0,0.0,0.0,-37.7848,145.025,2211.0,False,True,False,False,False,False,True,False,False,True,False,False,False,False,650000.0
136,2,6.4,3078.0,1.0,1.0,0.0,-37.7805,145.0262,2211.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,512000.0
137,3,6.4,3078.0,1.0,2.0,979.0,-37.7792,145.029,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1165000.0
138,4,6.4,3078.0,2.0,2.0,556.0,-37.7844,145.0225,2211.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1900000.0
139,3,6.4,3078.0,0.0,0.0,597.0,-37.7781,145.0284,2211.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1485000.0
140,4,6.4,3078.0,2.0,3.0,589.0,-37.7719,145.0309,2211.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1950000.0
141,3,13.8,3018.0,2.0,1.0,352.0,-37.87,144.825,5301.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,520000.0
143,2,13.8,3018.0,1.0,2.0,292.0,-37.8687,144.8197,5301.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,720000.0
144,3,13.8,3018.0,1.0,2.0,506.0,-37.8693,144.8375,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1120000.0
147,3,13.8,3018.0,1.0,2.0,311.0,-37.8702,144.8143,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,630000.0
148,2,13.8,3018.0,1.0,1.0,65.0,-37.8693,144.8171,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,406000.0
149,3,13.8,3018.0,1.0,1.0,602.0,-37.8616,144.8116,5301.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,660000.0
150,3,13.8,3018.0,1.0,1.0,530.0,-37.8594,144.817,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,683500.0
151,2,13.8,3018.0,1.0,1.0,225.0,-37.8696,144.827,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,580000.0
153,3,13.8,3018.0,2.0,2.0,280.0,-37.8734,144.8143,5301.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,800000.0
154,2,13.8,3018.0,1.0,1.0,127.0,-37.8686,144.8182,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,510000.0
155,4,13.8,3018.0,2.0,2.0,695.0,-37.8733,144.8147,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1070000.0
156,2,13.8,3018.0,1.0,2.0,115.0,-37.871,144.8185,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,425000.0
157,3,13.8,3018.0,2.0,2.0,230.0,-37.8646,144.827,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,605000.0
158,3,13.8,3018.0,2.0,2.0,197.0,-37.8579,144.8181,5301.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,705000.0
159,2,13.8,3018.0,1.0,1.0,0.0,-37.8678,144.8384,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,391000.0
160,2,13.8,3018.0,1.0,1.0,0.0,-37.8659,144.83100000000005,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,440000.0
161,4,13.8,3018.0,1.0,2.0,745.0,-37.8658,144.8155,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,845000.0
162,3,13.8,3018.0,2.0,2.0,211.0,-37.8698,144.816,5301.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,743000.0
163,3,13.8,3018.0,2.0,1.0,69.0,-37.868,144.8286,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,730000.0
165,2,13.8,3018.0,1.0,1.0,168.0,-37.8676,144.8202,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,620000.0
166,2,13.8,3018.0,1.0,1.0,137.0,-37.8655,144.8299,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,447000.0
167,3,13.8,3018.0,2.0,1.0,70.0,-37.868,144.8287,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,730000.0
168,3,13.8,3018.0,1.0,2.0,606.0,-37.8608,144.8124,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,678000.0
169,2,13.8,3018.0,2.0,1.0,175.0,-37.8687,144.8268,5301.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,580000.0
170,3,13.8,3018.0,1.0,2.0,363.0,-37.8674,144.8375,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,712000.0
171,3,13.8,3018.0,2.0,2.0,534.0,-37.86,144.8245,5301.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,840000.0
172,3,13.8,3018.0,1.0,2.0,724.0,-37.8672,144.817,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,980000.0
173,3,13.8,3018.0,2.0,0.0,265.0,-37.8583,144.8172,5301.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,605100.0
174,3,13.8,3018.0,3.0,1.0,577.0,-37.8699,144.8235,5301.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,880000.0
175,3,13.8,3018.0,2.0,1.0,205.0,-37.8684,144.815,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,577000.0
176,4,13.8,3018.0,1.0,0.0,797.0,-37.8663,144.8387,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1030000.0
177,3,13.8,3018.0,1.0,2.0,181.0,-37.8659,144.822,5301.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,605000.0
178,3,13.8,3018.0,2.0,2.0,529.0,-37.8612,144.8247,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,753000.0
179,2,13.8,3018.0,2.0,1.0,675.0,-37.8653,144.8129,5301.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,857000.0
180,3,13.8,3018.0,1.0,1.0,929.0,-37.8651,144.832,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1500000.0
181,3,13.8,3018.0,2.0,1.0,70.0,-37.868,144.8285,5301.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,730000.0
183,3,13.8,3018.0,1.0,2.0,604.0,-37.8631,144.8195,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,740000.0
184,4,13.8,3018.0,2.0,3.0,532.0,-37.8637,144.8365,5301.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,931000.0
185,2,13.8,3018.0,1.0,1.0,154.0,-37.8646,144.8272,5301.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,535600.0
187,3,11.1,3025.0,1.0,2.0,533.0,-37.8291,144.835,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,781000.0
188,3,11.1,3025.0,1.0,3.0,554.0,-37.8449,144.85,5132.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,750000.0
189,2,11.1,3025.0,1.0,1.0,77.0,-37.8351,144.8529,5132.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,421000.0
190,3,11.1,3025.0,1.0,3.0,655.0,-37.8338,144.8562,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1405000.0
191,3,11.1,3025.0,1.0,2.0,534.0,-37.8284,144.8355,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,683000.0
192,3,11.1,3025.0,1.0,3.0,540.0,-37.8267,144.8368,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,623000.0
193,3,11.1,3025.0,2.0,1.0,0.0,-37.8379,144.8583,5132.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,720000.0
194,3,11.1,3025.0,1.0,1.0,328.0,-37.838,144.8555,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,588000.0
195,3,11.1,3025.0,1.0,3.0,540.0,-37.8294,144.8378,5132.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,710000.0
197,3,11.1,3025.0,1.0,3.0,554.0,-37.8449,144.85,5132.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,700000.0
198,2,11.1,3025.0,1.0,1.0,252.0,-37.8397,144.8602,5132.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,640000.0
200,3,11.1,3025.0,2.0,2.0,171.0,-37.8337,144.8554,5132.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,675000.0
